2025-10-31 23:35:12,125 | INFO | apps.rooms | req=3fd445f326ab user=- room=- | ROOM create room_id=3 user_id=1
2025-10-31 23:35:12,125 | INFO | apps.http | req=3fd445f326ab user=- room=- | HTTP POST /api/rooms/ -> 201 (1 ms)
2025-10-31 23:35:12,973 | DEBUG | apps.http | req=f106fd221db1 user=- room=- | HTTP POST /api/rooms/
2025-10-31 23:35:12,973 | INFO | apps.http | req=f106fd221db1 user=- room=- | HTTP POST /api/rooms/ -> 401 (0 ms)
2025-10-31 23:35:13,801 | DEBUG | apps.http | req=c99cbefcc8e0 user=- room=- | HTTP DELETE /api/rooms/1/
2025-10-31 23:35:13,802 | WARNING | apps.rooms | req=c99cbefcc8e0 user=- room=- | ROOM delete denied room_id=1 user_id=2
2025-10-31 23:35:13,803 | INFO | apps.http | req=c99cbefcc8e0 user=- room=- | HTTP DELETE /api/rooms/1/ -> 403 (2 ms)
2025-10-31 23:35:14,610 | DEBUG | apps.http | req=d9a2d5f7ae82 user=- room=- | HTTP DELETE /api/rooms/1/
2025-10-31 23:35:14,612 | INFO | apps.rooms | req=d9a2d5f7ae82 user=- room=- | ROOM delete room_id=1 user_id=1
2025-10-31 23:35:14,612 | INFO | apps.http | req=d9a2d5f7ae82 user=- room=- | HTTP DELETE /api/rooms/1/ -> 204 (1 ms)
2025-10-31 23:35:15,413 | DEBUG | apps.http | req=d7b8e92d506b user=- room=- | HTTP DELETE /api/rooms/1/
2025-10-31 23:35:15,414 | INFO | apps.http | req=d7b8e92d506b user=- room=- | HTTP DELETE /api/rooms/1/ -> 401 (0 ms)
2025-10-31 23:35:16,270 | DEBUG | apps.http | req=52cc40d7e77d user=- room=- | HTTP GET /api/rooms/
2025-10-31 23:35:16,273 | INFO | apps.http | req=52cc40d7e77d user=- room=- | HTTP GET /api/rooms/ -> 200 (3 ms)
2025-10-31 23:35:17,059 | DEBUG | apps.http | req=4c9015ef09e6 user=- room=- | HTTP GET /api/rooms/
2025-10-31 23:35:17,060 | INFO | apps.http | req=4c9015ef09e6 user=- room=- | HTTP GET /api/rooms/ -> 401 (0 ms)
2025-10-31 23:35:17,836 | DEBUG | apps.http | req=cc382ff963b2 user=- room=- | HTTP GET /api/rooms/2/
2025-10-31 23:35:17,837 | INFO | apps.http | req=cc382ff963b2 user=- room=- | HTTP GET /api/rooms/2/ -> 404 (1 ms)
2025-10-31 23:35:18,634 | DEBUG | apps.http | req=57a97fd116ca user=- room=- | HTTP GET /api/rooms/1/
2025-10-31 23:35:18,636 | INFO | apps.http | req=57a97fd116ca user=- room=- | HTTP GET /api/rooms/1/ -> 200 (2 ms)
2025-10-31 23:35:19,410 | DEBUG | apps.http | req=6de87ebbcbbc user=- room=- | HTTP PATCH /api/rooms/1/
2025-10-31 23:35:19,412 | INFO | apps.http | req=6de87ebbcbbc user=- room=- | HTTP PATCH /api/rooms/1/ -> 200 (1 ms)
2025-10-31 23:35:20,223 | DEBUG | apps.http | req=b00c50bda4a4 user=- room=- | HTTP PUT /api/rooms/1/
2025-10-31 23:35:20,225 | INFO | apps.http | req=b00c50bda4a4 user=- room=- | HTTP PUT /api/rooms/1/ -> 200 (1 ms)
2025-10-31 23:35:21,090 | DEBUG | apps.http | req=832ce299a8d0 user=- room=- | HTTP PUT /api/rooms/1/
2025-10-31 23:35:21,090 | INFO | apps.http | req=832ce299a8d0 user=- room=- | HTTP PUT /api/rooms/1/ -> 401 (0 ms)
2025-10-31 23:35:28,269 | DEBUG | apps.http | req=bcee12f14a85 user=- room=- | HTTP GET /api/rooms/2/messages/
2025-10-31 23:35:28,270 | INFO | apps.http | req=bcee12f14a85 user=- room=- | HTTP GET /api/rooms/2/messages/ -> 404 (1 ms)
2025-10-31 23:35:29,031 | DEBUG | apps.http | req=0e10448abe20 user=- room=- | HTTP GET /api/rooms/1/messages/?before=invalid-timestamp
2025-10-31 23:35:29,033 | INFO | apps.http | req=0e10448abe20 user=- room=- | HTTP GET /api/rooms/1/messages/ -> 400 (2 ms)
2025-10-31 23:35:29,803 | DEBUG | apps.http | req=cb02b3635bd3 user=- room=- | HTTP GET /api/rooms/1/messages/?limit=1000
2025-10-31 23:35:29,806 | INFO | apps.http | req=cb02b3635bd3 user=- room=- | HTTP GET /api/rooms/1/messages/ -> 200 (2 ms)
2025-10-31 23:35:30,583 | DEBUG | apps.http | req=c4b80380069d user=- room=- | HTTP GET /api/rooms/1/messages/?limit=0
2025-10-31 23:35:30,585 | INFO | apps.http | req=c4b80380069d user=- room=- | HTTP GET /api/rooms/1/messages/ -> 200 (2 ms)
2025-10-31 23:35:31,349 | DEBUG | apps.http | req=d1df69663ebb user=- room=- | HTTP GET /api/rooms/99999/messages/
2025-10-31 23:35:31,350 | INFO | apps.http | req=d1df69663ebb user=- room=- | HTTP GET /api/rooms/99999/messages/ -> 404 (1 ms)
2025-10-31 23:35:32,294 | DEBUG | apps.http | req=bff71414da82 user=- room=- | HTTP GET /api/rooms/1/messages/
2025-10-31 23:35:32,299 | INFO | apps.http | req=bff71414da82 user=- room=- | HTTP GET /api/rooms/1/messages/ -> 200 (5 ms)
2025-10-31 23:35:33,099 | DEBUG | apps.http | req=c4faf9a193c1 user=- room=- | HTTP GET /api/rooms/1/messages/
2025-10-31 23:35:33,100 | INFO | apps.http | req=c4faf9a193c1 user=- room=- | HTTP GET /api/rooms/1/messages/ -> 401 (1 ms)
2025-10-31 23:35:33,883 | DEBUG | apps.http | req=5bf6b76208e8 user=- room=- | HTTP GET /api/rooms/1/messages/?before=2025-10-31T18%3A05%3A33.882669%2B00%3A00
2025-10-31 23:35:33,886 | INFO | apps.http | req=5bf6b76208e8 user=- room=- | HTTP GET /api/rooms/1/messages/ -> 200 (2 ms)
2025-10-31 23:35:34,674 | DEBUG | apps.http | req=21c27bf8c292 user=- room=- | HTTP GET /api/rooms/1/messages/?limit=2
2025-10-31 23:35:34,677 | INFO | apps.http | req=21c27bf8c292 user=- room=- | HTTP GET /api/rooms/1/messages/ -> 200 (2 ms)
2025-10-31 23:35:34,684 | DEBUG | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/
2025-10-31 23:35:34,694 | INFO | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/ -> 200 (10 ms)
2025-10-31 23:35:34,695 | INFO | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/ -> 200 (0 ms)
2025-10-31 23:35:34,696 | DEBUG | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/
2025-10-31 23:35:34,696 | DEBUG | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/
2025-10-31 23:35:34,696 | INFO | apps.http | req=custom-id-123 user=- room=- | HTTP GET /test/ -> 200 (0 ms)
2025-10-31 23:36:53,705 | DEBUG | apps.http | req=d55349783b4d user=- room=- | HTTP POST /auth/login/
2025-10-31 23:36:54,188 | INFO | apps.http | req=d55349783b4d user=- room=- | HTTP POST /auth/login/ -> 401 (482 ms)
2025-10-31 23:36:54,190 | WARNING | django.request | req=- user=- room=- | Unauthorized: /auth/login/
2025-10-31 23:36:54,656 | DEBUG | apps.http | req=0a6e75cb6d74 user=- room=- | HTTP POST /auth/login/
2025-10-31 23:36:55,134 | INFO | apps.http | req=0a6e75cb6d74 user=- room=- | HTTP POST /auth/login/ -> 401 (478 ms)
2025-10-31 23:36:55,134 | WARNING | django.request | req=- user=- room=- | Unauthorized: /auth/login/
2025-10-31 23:36:55,589 | DEBUG | apps.http | req=4be9f3ff3736 user=- room=- | HTTP POST /auth/login/
2025-10-31 23:36:56,166 | INFO | apps.http | req=4be9f3ff3736 user=- room=- | HTTP POST /auth/login/ -> 401 (577 ms)
2025-10-31 23:36:56,166 | WARNING | django.request | req=- user=- room=- | Unauthorized: /auth/login/
2025-10-31 23:36:56,574 | DEBUG | apps.http | req=bc049d9fc124 user=- room=- | HTTP POST /auth/login/
2025-10-31 23:36:57,379 | INFO | apps.http | req=bc049d9fc124 user=- room=- | HTTP POST /auth/login/ -> 200 (805 ms)
2025-10-31 23:36:57,764 | DEBUG | apps.http | req=9bb65235a11d user=- room=- | HTTP POST /auth/logout/
2025-10-31 23:36:57,765 | INFO | apps.users | req=9bb65235a11d user=- room=- | AUTH logout user_id=1
2025-10-31 23:36:57,765 | INFO | apps.http | req=9bb65235a11d user=- room=- | HTTP POST /auth/logout/ -> 200 (0 ms)
2025-10-31 23:36:58,195 | DEBUG | apps.http | req=17307e08707f user=- room=- | HTTP POST /auth/logout/
2025-10-31 23:36:58,195 | INFO | apps.http | req=17307e08707f user=- room=- | HTTP POST /auth/logout/ -> 401 (0 ms)
2025-10-31 23:36:58,196 | WARNING | django.request | req=- user=- room=- | Unauthorized: /auth/logout/
2025-10-31 23:36:58,632 | DEBUG | apps.http | req=54d8eb178434 user=- room=- | HTTP DELETE /auth/profile/
2025-10-31 23:36:58,632 | WARNING | apps.users | req=54d8eb178434 user=- room=- | AUTH profile delete user_id=1
2025-10-31 23:36:58,634 | INFO | apps.http | req=54d8eb178434 user=- room=- | HTTP DELETE /auth/profile/ -> 204 (2 ms)
2025-10-31 23:36:59,066 | DEBUG | apps.http | req=bcce752846c6 user=- room=- | HTTP DELETE /auth/profile/
2025-10-31 23:36:59,067 | INFO | apps.http | req=bcce752846c6 user=- room=- | HTTP DELETE /auth/profile/ -> 401 (0 ms)
2025-10-31 23:36:59,067 | WARNING | django.request | req=- user=- room=- | Unauthorized: /auth/profile/
2025-10-31 23:36:59,504 | DEBUG | apps.http | req=35dceb9af3aa user=- room=- | HTTP GET /auth/profile/
2025-10-31 23:36:59,506 | INFO | apps.http | req=35dceb9af3aa user=- room=- | HTTP GET /auth/profile/ -> 200 (1 ms)
2025-10-31 23:36:59,941 | DEBUG | apps.http | req=5fc5d6ee066e user=- room=- | HTTP GET /auth/profile/
2025-10-31 23:36:59,942 | INFO | apps.http | req=5fc5d6ee066e user=- room=- | HTTP GET /auth/profile/ -> 401 (0 ms)
2025-10-31 23:36:59,942 | WARNING | django.request | req=- user=- room=- | Unauthorized: /auth/profile/
2025-10-31 23:37:00,400 | DEBUG | apps.http | req=e603ac97334d user=- room=- | HTTP PUT /auth/profile/
2025-10-31 23:37:00,401 | DEBUG | apps.users | req=e603ac97334d user=- room=- | AUTH profile update user_id=1
2025-10-31 23:37:00,403 | INFO | apps.http | req=e603ac97334d user=- room=- | HTTP PUT /auth/profile/ -> 400 (2 ms)
2025-10-31 23:37:00,404 | WARNING | django.request | req=- user=- room=- | Bad Request: /auth/profile/
2025-10-31 23:37:00,834 | DEBUG | apps.http | req=731bd0c7793b user=- room=- | HTTP PUT /auth/profile/
2025-10-31 23:37:00,836 | INFO | apps.http | req=731bd0c7793b user=- room=- | HTTP PUT /auth/profile/ -> 401 (1 ms)
2025-10-31 23:37:00,837 | WARNING | django.request | req=- user=- room=- | Unauthorized: /auth/profile/
2025-10-31 23:37:01,282 | DEBUG | apps.http | req=e553fbe701c4 user=- room=- | HTTP POST /auth/register/
2025-10-31 23:37:01,282 | DEBUG | apps.users | req=e553fbe701c4 user=- room=- | AUTH register attempt
2025-10-31 23:37:01,283 | INFO | apps.http | req=e553fbe701c4 user=- room=- | HTTP POST /auth/register/ -> 400 (1 ms)
2025-10-31 23:37:01,284 | WARNING | django.request | req=- user=- room=- | Bad Request: /auth/register/
2025-10-31 23:37:01,284 | DEBUG | apps.http | req=7bf9b5ea6464 user=- room=- | HTTP POST /auth/register/
2025-10-31 23:37:01,286 | DEBUG | apps.users | req=7bf9b5ea6464 user=- room=- | AUTH register attempt
